iteration: 2592
total_loss: 842.07751465
value_loss: 422.25015259
action_loss: 419.82733154
best_loss: 842.07751465
best_idx: 2592
improvement_counter: 0
training_reward_count: 2593
training_rewards:
  iteration: 0 | eps_b: 0 | mean_reward: -9.74520588 | std_reward: 9.59436607 | agent_mean_rewards: [-10.192326, -10.682436,  -7.906627, -10.987223,  -8.957417]
  iteration: 40 | eps_b: 0 | mean_reward: -9.41465950 | std_reward: 9.19598293 | agent_mean_rewards: [ -9.914328,  -9.244283,  -9.410322,  -8.389388, -10.114973]
  iteration: 41 | eps_b: 0 | mean_reward: -8.77009869 | std_reward: 8.60561466 | agent_mean_rewards: [-8.074984, -8.785016, -9.228945, -8.977685, -8.783868]
  iteration: 42 | eps_b: 0 | mean_reward: -9.42706585 | std_reward: 9.42604160 | agent_mean_rewards: [ -9.662354, -10.795644,  -7.969456,  -9.677782,  -9.030094]
  iteration: 43 | eps_b: 0 | mean_reward: -8.95288754 | std_reward: 9.17095089 | agent_mean_rewards: [-10.542642,  -8.230146,  -8.950892,  -8.445724,  -8.595026]
  iteration: 44 | eps_b: 0 | mean_reward: -9.24106598 | std_reward: 10.71115303 | agent_mean_rewards: [ -8.524707,  -8.080933,  -9.691002,  -8.674748, -11.233942]
  iteration: 45 | eps_b: 0 | mean_reward: -9.21900845 | std_reward: 8.67318630 | agent_mean_rewards: [-9.047492, -9.439562, -9.167381, -9.597696, -8.842911]
  iteration: 46 | eps_b: 0 | mean_reward: -9.93031025 | std_reward: 9.86470699 | agent_mean_rewards: [ -9.920725, -10.15774 , -10.1065  ,  -9.345861, -10.120725]
  iteration: 47 | eps_b: 0 | mean_reward: -9.39862347 | std_reward: 9.61571980 | agent_mean_rewards: [ -9.52526 , -10.100277,  -9.484825,  -8.713379,  -9.169374]
  iteration: 48 | eps_b: 0 | mean_reward: -9.54737091 | std_reward: 9.94041920 | agent_mean_rewards: [ -9.663077,  -9.564467,  -8.802544, -10.068651,  -9.638116]
  iteration: 49 | eps_b: 0 | mean_reward: -8.92798615 | std_reward: 8.59463120 | agent_mean_rewards: [ -9.106472,  -8.657655, -10.486387,  -8.182245,  -8.207169]
  iteration: 50 | eps_b: 0 | mean_reward: -9.97233772 | std_reward: 10.02456951 | agent_mean_rewards: [-11.159413,  -8.749842,  -9.987407, -10.290211,  -9.674813]
  iteration: 51 | eps_b: 0 | mean_reward: -8.98831940 | std_reward: 8.90382481 | agent_mean_rewards: [-9.895905, -8.403349, -8.788675, -8.599933, -9.253738]
  iteration: 52 | eps_b: 0 | mean_reward: -9.17019749 | std_reward: 9.62929249 | agent_mean_rewards: [ -8.975418, -10.220898,  -8.003983,  -9.284899,  -9.365789]
  iteration: 53 | eps_b: 0 | mean_reward: -9.39206696 | std_reward: 9.43065357 | agent_mean_rewards: [-10.136581,  -9.239083,  -9.842744,  -9.656271,  -8.085653]
  iteration: 54 | eps_b: 0 | mean_reward: -9.89203548 | std_reward: 10.40649223 | agent_mean_rewards: [-10.488773,  -9.257605,  -8.351776, -10.85578 , -10.506245]
  iteration: 55 | eps_b: 0 | mean_reward: -9.21170998 | std_reward: 8.75819397 | agent_mean_rewards: [-9.001926, -9.454791, -9.317951, -8.368834, -9.915049]
  iteration: 56 | eps_b: 0 | mean_reward: -9.32020760 | std_reward: 9.52010632 | agent_mean_rewards: [ -9.998873, -10.198108,  -8.911036,  -8.523407,  -8.969612]
  iteration: 57 | eps_b: 0 | mean_reward: -9.61629295 | std_reward: 10.83991241 | agent_mean_rewards: [-10.717278,  -9.348451,  -8.788119,  -9.474394,  -9.753218]
  iteration: 58 | eps_b: 0 | mean_reward: -9.83810520 | std_reward: 9.60439587 | agent_mean_rewards: [-10.766168,  -9.5781  ,  -8.511326, -10.178918, -10.156012]
  iteration: 59 | eps_b: 0 | mean_reward: -9.15706158 | std_reward: 9.67361164 | agent_mean_rewards: [ -8.234301,  -8.82889 ,  -9.288523, -10.276801,  -9.156798]
  iteration: 60 | eps_b: 0 | mean_reward: -9.01844501 | std_reward: 9.98383999 | agent_mean_rewards: [ -9.15766 ,  -8.913576,  -9.122054,  -7.743467, -10.155466]
  iteration: 61 | eps_b: 0 | mean_reward: -10.25644875 | std_reward: 11.84595394 | agent_mean_rewards: [ -9.10513 , -11.348117, -10.396587,  -9.456487, -10.975924]
  iteration: 62 | eps_b: 0 | mean_reward: -9.06914425 | std_reward: 10.33872318 | agent_mean_rewards: [-8.896189, -9.552418, -8.361097, -8.819131, -9.716883]
  iteration: 63 | eps_b: 0 | mean_reward: -9.19472694 | std_reward: 9.46594906 | agent_mean_rewards: [ -9.187012,  -8.286213, -10.143932,  -9.460099,  -8.896375]
  iteration: 64 | eps_b: 0 | mean_reward: -9.58344650 | std_reward: 10.44517040 | agent_mean_rewards: [-11.790389,  -9.279432,  -9.229761,  -8.412893,  -9.204755]
  iteration: 65 | eps_b: 0 | mean_reward: -9.69638920 | std_reward: 9.91245651 | agent_mean_rewards: [-10.483453,  -9.360746,  -8.859076, -10.283924,  -9.494748]
  iteration: 66 | eps_b: 0 | mean_reward: -9.46717262 | std_reward: 9.64606380 | agent_mean_rewards: [-9.515867, -8.395867, -9.916253, -9.910463, -9.597409]
  iteration: 67 | eps_b: 0 | mean_reward: -10.14612579 | std_reward: 9.89281750 | agent_mean_rewards: [ -9.593938, -10.41394 , -11.688871,  -8.929614, -10.104265]
  iteration: 68 | eps_b: 0 | mean_reward: -8.95454216 | std_reward: 9.32476044 | agent_mean_rewards: [-8.758617, -9.820007, -9.119298, -9.258099, -7.816689]
  iteration: 69 | eps_b: 0 | mean_reward: -9.71863842 | std_reward: 10.11016750 | agent_mean_rewards: [-10.091316, -11.247726,  -9.805376,  -7.83934 ,  -9.609436]
  iteration: 70 | eps_b: 0 | mean_reward: -9.69417953 | std_reward: 10.98258686 | agent_mean_rewards: [ -9.066554,  -8.581084, -11.522861, -10.519124,  -8.781272]
  iteration: 71 | eps_b: 0 | mean_reward: -9.86981869 | std_reward: 10.35727406 | agent_mean_rewards: [ -9.808628,  -8.843794,  -9.862025, -11.478362,  -9.356284]
  iteration: 72 | eps_b: 0 | mean_reward: -9.15458679 | std_reward: 9.57270432 | agent_mean_rewards: [ -8.753078,  -8.590218, -11.437022,  -9.708958,  -7.283656]
  iteration: 73 | eps_b: 0 | mean_reward: -9.86234188 | std_reward: 9.98433590 | agent_mean_rewards: [ -9.570165, -11.115184, -10.043429,  -9.325038,  -9.257888]
  iteration: 74 | eps_b: 0 | mean_reward: -9.62176037 | std_reward: 9.41618919 | agent_mean_rewards: [ -8.973413, -10.198669, -10.135988,  -9.369429,  -9.431303]
  iteration: 75 | eps_b: 0 | mean_reward: -9.41382980 | std_reward: 9.28721619 | agent_mean_rewards: [-10.283399,  -9.204544,  -7.661617, -10.570635,  -9.348953]
  iteration: 76 | eps_b: 0 | mean_reward: -9.66211414 | std_reward: 9.70099926 | agent_mean_rewards: [ -9.920218,  -8.777182, -10.644501, -10.129805,  -8.838864]
  iteration: 77 | eps_b: 0 | mean_reward: -9.22225952 | std_reward: 8.89524841 | agent_mean_rewards: [-9.012378, -9.461134, -9.538583, -8.989923, -9.109282]
  iteration: 78 | eps_b: 0 | mean_reward: -9.29187107 | std_reward: 8.99723911 | agent_mean_rewards: [ -9.744962, -10.30457 ,  -8.821455,  -9.390615,  -8.197752]
  iteration: 79 | eps_b: 0 | mean_reward: -8.84433937 | std_reward: 9.35002518 | agent_mean_rewards: [-8.218305, -9.502768, -9.752478, -7.983793, -8.764353]
  iteration: 80 | eps_b: 0 | mean_reward: -9.55253315 | std_reward: 9.71624947 | agent_mean_rewards: [-10.118669,  -8.87569 , -10.506538,  -9.313101,  -8.948664]
  iteration: 81 | eps_b: 0 | mean_reward: -9.31795788 | std_reward: 10.46727657 | agent_mean_rewards: [ -9.118266,  -9.350861,  -9.301224,  -8.509768, -10.30967 ]
  iteration: 82 | eps_b: 0 | mean_reward: -9.19595146 | std_reward: 10.05805874 | agent_mean_rewards: [-9.107318, -8.840923, -9.571779, -9.311296, -9.148438]
  iteration: 83 | eps_b: 0 | mean_reward: -9.50254345 | std_reward: 10.08170509 | agent_mean_rewards: [ -7.966764,  -8.524338,  -9.833426, -11.155954, -10.032234]
  iteration: 84 | eps_b: 0 | mean_reward: -8.59245396 | std_reward: 8.28797436 | agent_mean_rewards: [-8.675079, -8.86279 , -7.642968, -9.413625, -8.367807]
  iteration: 85 | eps_b: 0 | mean_reward: -10.52768993 | std_reward: 10.47644138 | agent_mean_rewards: [-10.403313, -10.15403 , -11.004431, -11.118269,  -9.958403]
  iteration: 86 | eps_b: 0 | mean_reward: -9.45772552 | std_reward: 9.44101715 | agent_mean_rewards: [ -9.41098 , -10.172609, -10.714185,  -9.207103,  -7.783748]
  iteration: 87 | eps_b: 0 | mean_reward: -9.65973854 | std_reward: 9.27572536 | agent_mean_rewards: [-10.177526,  -7.921868, -10.195604, -10.115088,  -9.888607]
  iteration: 88 | eps_b: 0 | mean_reward: -9.35373116 | std_reward: 9.81922722 | agent_mean_rewards: [ -8.339819, -10.273239,  -8.693193, -10.28171 ,  -9.180693]
  iteration: 89 | eps_b: 0 | mean_reward: -9.40510178 | std_reward: 9.06618977 | agent_mean_rewards: [ -9.150565, -10.041202,  -8.465066,  -9.247873, -10.120806]
  iteration: 90 | eps_b: 0 | mean_reward: -9.16435146 | std_reward: 10.29051018 | agent_mean_rewards: [ -8.857964,  -7.434051,  -9.296762,  -9.913039, -10.319937]
  iteration: 91 | eps_b: 0 | mean_reward: -9.49763489 | std_reward: 9.26126003 | agent_mean_rewards: [-10.163574, -10.096054,  -9.003126,  -9.817005,  -8.408416]
  iteration: 92 | eps_b: 0 | mean_reward: -9.43398571 | std_reward: 8.97651863 | agent_mean_rewards: [ -9.173306,  -9.328089,  -8.90958 ,  -9.677455, -10.081499]
  iteration: 93 | eps_b: 0 | mean_reward: -10.01351929 | std_reward: 10.78932285 | agent_mean_rewards: [ -8.606161,  -8.991378, -13.004774,  -9.609445,  -9.855841]
  iteration: 94 | eps_b: 0 | mean_reward: -9.45336151 | std_reward: 9.58487797 | agent_mean_rewards: [-10.177786, -10.548374,  -8.289507,  -8.449676,  -9.801465]
  iteration: 95 | eps_b: 0 | mean_reward: -9.34484768 | std_reward: 9.47227478 | agent_mean_rewards: [-8.792866, -8.911192, -9.801818, -9.589127, -9.629236]
  iteration: 96 | eps_b: 0 | mean_reward: -9.89495564 | std_reward: 10.54380703 | agent_mean_rewards: [-10.314611, -10.293817,  -8.403299, -11.087223,  -9.375831]
  iteration: 97 | eps_b: 0 | mean_reward: -9.37244701 | std_reward: 9.84240532 | agent_mean_rewards: [-10.359818,  -9.070289,  -9.597663,  -9.5093  ,  -8.325166]
  iteration: 98 | eps_b: 0 | mean_reward: -9.06665707 | std_reward: 9.20157433 | agent_mean_rewards: [ -9.225696, -10.444385,  -8.686979,  -8.548386,  -8.427836]
  iteration: 99 | eps_b: 0 | mean_reward: -8.96066570 | std_reward: 9.32666206 | agent_mean_rewards: [-8.444325, -8.100559, -9.783102, -9.504269, -8.971075]
  iteration: 100 | eps_b: 0 | mean_reward: -8.76256466 | std_reward: 9.18617249 | agent_mean_rewards: [-8.916131, -9.02089 , -9.165829, -9.448186, -7.261788]
  iteration: 101 | eps_b: 0 | mean_reward: -9.33947086 | std_reward: 9.40579510 | agent_mean_rewards: [-10.307024,  -8.951456,  -8.829077,  -8.099174, -10.510622]
  iteration: 102 | eps_b: 0 | mean_reward: -9.07248878 | std_reward: 9.00259018 | agent_mean_rewards: [ -9.210743,  -8.975513,  -9.053373,  -7.701882, -10.42093 ]
  iteration: 103 | eps_b: 0 | mean_reward: -9.50547218 | std_reward: 9.33435440 | agent_mean_rewards: [-10.422302, -11.057665,  -9.409653,  -8.950545,  -7.687198]
  iteration: 104 | eps_b: 0 | mean_reward: -9.72809601 | std_reward: 9.85156631 | agent_mean_rewards: [ -8.293026, -10.172825, -10.108657,  -9.757512, -10.30846 ]
  iteration: 105 | eps_b: 0 | mean_reward: -9.93272400 | std_reward: 10.10507488 | agent_mean_rewards: [-10.053222, -10.476404, -10.260182,  -8.731301, -10.142513]
  iteration: 106 | eps_b: 0 | mean_reward: -9.49815464 | std_reward: 9.59695053 | agent_mean_rewards: [ -8.698796,  -9.036887, -10.3272  ,  -9.534576,  -9.893311]
  iteration: 107 | eps_b: 0 | mean_reward: -9.91687298 | std_reward: 10.26763344 | agent_mean_rewards: [ -8.93762 , -10.683777, -10.121765,  -9.220193, -10.621007]
  iteration: 108 | eps_b: 0 | mean_reward: -9.25463963 | std_reward: 10.20801926 | agent_mean_rewards: [ -9.587532, -10.295444,  -8.806654,  -7.946982,  -9.636584]
  iteration: 109 | eps_b: 0 | mean_reward: -9.69411755 | std_reward: 9.95768452 | agent_mean_rewards: [ -9.440911,  -9.435295,  -9.770184,  -9.137632, -10.686571]
  iteration: 110 | eps_b: 0 | mean_reward: -9.09829807 | std_reward: 9.37165356 | agent_mean_rewards: [ -9.718286, -10.040251,  -7.135951,  -8.848482,  -9.748518]
  iteration: 111 | eps_b: 0 | mean_reward: -9.34530163 | std_reward: 8.69007683 | agent_mean_rewards: [-9.347554, -9.456566, -8.794297, -9.377292, -9.750799]
  iteration: 112 | eps_b: 0 | mean_reward: -9.51995087 | std_reward: 10.03082466 | agent_mean_rewards: [-10.026049,  -8.938164,  -9.973328,  -9.055575,  -9.606634]
  iteration: 113 | eps_b: 0 | mean_reward: -9.03671455 | std_reward: 8.79356003 | agent_mean_rewards: [-9.315886, -9.223641, -7.809937, -8.867747, -9.96636 ]
  iteration: 114 | eps_b: 0 | mean_reward: -9.23721123 | std_reward: 9.01885509 | agent_mean_rewards: [-9.684972, -9.004974, -8.866911, -9.115989, -9.51321 ]
  iteration: 115 | eps_b: 0 | mean_reward: -9.60090637 | std_reward: 9.39038563 | agent_mean_rewards: [ -7.446852,  -9.402489, -10.146438, -10.535202, -10.473552]
  iteration: 116 | eps_b: 0 | mean_reward: -9.27603340 | std_reward: 9.25406551 | agent_mean_rewards: [-10.529793,  -8.955882,  -9.035664,  -7.352433, -10.506391]
  iteration: 117 | eps_b: 0 | mean_reward: -9.85866833 | std_reward: 10.02958584 | agent_mean_rewards: [-10.602406, -10.143475,  -9.42313 ,  -8.779134, -10.345193]
  iteration: 118 | eps_b: 0 | mean_reward: -9.55982304 | std_reward: 9.85960293 | agent_mean_rewards: [-10.944649,  -9.982519,  -9.346083,  -8.686943,  -8.838919]
  iteration: 119 | eps_b: 0 | mean_reward: -9.48414898 | std_reward: 9.99613762 | agent_mean_rewards: [ -7.962618,  -9.543408,  -9.517372,  -9.76766 , -10.629684]
  iteration: 120 | eps_b: 0 | mean_reward: -9.15023136 | std_reward: 9.56048775 | agent_mean_rewards: [ -9.66971 ,  -8.363829,  -9.283745,  -8.386817, -10.047057]
  iteration: 121 | eps_b: 0 | mean_reward: -9.51326180 | std_reward: 10.18826103 | agent_mean_rewards: [ -9.670324,  -9.034741,  -9.323324,  -9.310057, -10.227861]
  iteration: 122 | eps_b: 0 | mean_reward: -9.47838020 | std_reward: 9.47560120 | agent_mean_rewards: [ -9.286501,  -9.691328, -10.165751,  -8.837646,  -9.410675]
  iteration: 123 | eps_b: 0 | mean_reward: -9.86482716 | std_reward: 10.78448486 | agent_mean_rewards: [ -9.971126,  -9.443295,  -9.449303,  -9.739023, -10.72139 ]
  iteration: 124 | eps_b: 0 | mean_reward: -9.15583324 | std_reward: 9.35583973 | agent_mean_rewards: [-9.070923, -9.895831, -9.69238 , -8.683121, -8.436912]
  iteration: 125 | eps_b: 0 | mean_reward: -9.86958504 | std_reward: 10.74188805 | agent_mean_rewards: [ -7.821303,  -9.648703,  -9.242632, -10.419308, -12.215977]
  iteration: 126 | eps_b: 0 | mean_reward: -9.07270050 | std_reward: 9.08688354 | agent_mean_rewards: [-8.747505, -9.676339, -9.854566, -8.298155, -8.786937]
  iteration: 127 | eps_b: 0 | mean_reward: -8.77774620 | std_reward: 8.42340660 | agent_mean_rewards: [-8.547211, -9.749174, -8.218626, -8.951058, -8.422658]
  iteration: 128 | eps_b: 0 | mean_reward: -9.26032734 | std_reward: 8.90986443 | agent_mean_rewards: [-8.278086, -9.472936, -9.578514, -9.130857, -9.841243]
  iteration: 129 | eps_b: 0 | mean_reward: -9.50972652 | std_reward: 10.05055809 | agent_mean_rewards: [-10.079964,  -9.726809,  -9.74713 ,  -8.555252,  -9.439473]
  iteration: 130 | eps_b: 0 | mean_reward: -9.51216412 | std_reward: 9.42852211 | agent_mean_rewards: [ -8.986526,  -9.852095,  -8.954268,  -9.366503, -10.401428]
  iteration: 131 | eps_b: 0 | mean_reward: -9.98813534 | std_reward: 11.09411240 | agent_mean_rewards: [ -8.626975,  -9.788744, -10.752011, -10.8366  ,  -9.936348]
  iteration: 132 | eps_b: 0 | mean_reward: -9.81328773 | std_reward: 9.89303970 | agent_mean_rewards: [-11.117889,  -8.496085, -10.25369 ,  -9.752979,  -9.445792]
  iteration: 133 | eps_b: 0 | mean_reward: -9.38313293 | std_reward: 8.74254417 | agent_mean_rewards: [-9.813902, -9.772174, -8.722442, -9.413233, -9.193911]
  iteration: 134 | eps_b: 0 | mean_reward: -9.76027679 | std_reward: 10.47610950 | agent_mean_rewards: [ -9.880198, -10.281059,  -9.780009,  -7.741277, -11.118842]
  iteration: 135 | eps_b: 0 | mean_reward: -9.34066296 | std_reward: 10.28667641 | agent_mean_rewards: [ -9.288249,  -8.845713,  -9.848635, -10.180742,  -8.539972]
  iteration: 136 | eps_b: 0 | mean_reward: -8.75626564 | std_reward: 8.61994076 | agent_mean_rewards: [-8.071793, -8.718523, -8.579739, -9.291681, -9.119592]
  iteration: 137 | eps_b: 0 | mean_reward: -9.04927826 | std_reward: 9.25014019 | agent_mean_rewards: [ -9.952006,  -8.240711,  -8.571232, -10.106758,  -8.375684]
  iteration: 138 | eps_b: 0 | mean_reward: -9.34333801 | std_reward: 9.60663033 | agent_mean_rewards: [ -8.947507, -10.469587,  -9.507792,  -9.327204,  -8.464602]
  iteration: 139 | eps_b: 0 | mean_reward: -9.40997219 | std_reward: 9.28575706 | agent_mean_rewards: [-8.713668, -9.792191, -9.470785, -9.985499, -9.087713]
  iteration: 140 | eps_b: 0 | mean_reward: -9.05771351 | std_reward: 9.31553841 | agent_mean_rewards: [ -9.508569,  -8.647147,  -9.406022,  -7.321121, -10.405706]
  iteration: 141 | eps_b: 0 | mean_reward: -8.85918713 | std_reward: 9.18534279 | agent_mean_rewards: [ -7.985837,  -7.71423 , -10.354411,  -9.310351,  -8.931108]
  iteration: 142 | eps_b: 0 | mean_reward: -8.80792427 | std_reward: 9.36812401 | agent_mean_rewards: [-7.645505, -9.396924, -9.112265, -8.987108, -8.897818]
  iteration: 143 | eps_b: 0 | mean_reward: -9.38760090 | std_reward: 8.85863781 | agent_mean_rewards: [ -9.649609,  -9.285736,  -8.808119,  -9.060536, -10.134005]
  iteration: 144 | eps_b: 0 | mean_reward: -9.52572155 | std_reward: 9.67725658 | agent_mean_rewards: [ -8.534336,  -9.329737, -10.268445,  -9.828209,  -9.667884]
  iteration: 145 | eps_b: 0 | mean_reward: -9.31330681 | std_reward: 9.34646416 | agent_mean_rewards: [ -8.963264,  -8.348977, -10.141324,  -9.400715,  -9.712253]
  iteration: 146 | eps_b: 0 | mean_reward: -10.00545025 | std_reward: 10.00540733 | agent_mean_rewards: [ -9.858669, -10.986485, -10.541247,  -8.683912,  -9.956933]
  iteration: 147 | eps_b: 0 | mean_reward: -9.29775715 | std_reward: 9.46558189 | agent_mean_rewards: [-9.805196, -9.579721, -9.750433, -8.594942, -8.758493]
  iteration: 148 | eps_b: 0 | mean_reward: -9.67983150 | std_reward: 9.41736317 | agent_mean_rewards: [ -9.655499,  -9.588551,  -9.30397 ,  -9.041252, -10.809886]
  iteration: 149 | eps_b: 0 | mean_reward: -10.19097519 | std_reward: 10.13001251 | agent_mean_rewards: [-10.762594,  -9.397145,  -9.14539 , -11.619712, -10.030034]
  iteration: 150 | eps_b: 0 | mean_reward: -8.72258282 | std_reward: 8.43205166 | agent_mean_rewards: [-9.265081, -8.373058, -8.810913, -8.818213, -8.34565 ]
  iteration: 151 | eps_b: 0 | mean_reward: -9.04167461 | std_reward: 9.69742870 | agent_mean_rewards: [-9.133236, -8.570971, -9.684948, -9.417482, -8.401734]
